stock_code,alias_name,alias_type,source_file
005930,삼성전자,preferred,demo_public_snapshot_2026_06_13
005930,Samsung Electronics,english,demo_public_snapshot_2026_06_13
005930,삼성,common,demo_public_snapshot_2026_06_13
005380,현대자동차,preferred,demo_public_snapshot_2026_06_13
005380,현대차,common,demo_public_snapshot_2026_06_13
005380,Hyundai Motor,english,demo_public_snapshot_2026_06_13
035720,카카오,preferred,demo_public_snapshot_2026_06_13
035720,Kakao,english,demo_public_snapshot_2026_06_13
093320,케이아이엔엑스,preferred,demo_public_snapshot_2026_06_13
093320,KINX,english,demo_public_snapshot_2026_06_13
352480,씨앤씨인터내셔널,preferred,demo_public_snapshot_2026_06_13
352480,C&C International,english,demo_public_snapshot_2026_06_13
054950,제이브이엠,preferred,demo_public_snapshot_2026_06_13
054950,JVM,english,demo_public_snapshot_2026_06_13
213420,덕산네오룩스,preferred,demo_public_snapshot_2026_06_13
213420,Duksan Neolux,english,demo_public_snapshot_2026_06_13
189300,인텔리안테크,preferred,demo_public_snapshot_2026_06_13
189300,Intellian Tech,english,demo_public_snapshot_2026_06_13
