observation_id,subject_type,subject_id,metric_code,period_type,period_value,numeric_value,text_value,unit,source_file
005930_revenue_2026_q1,company,005930,revenue,quarter,2026-Q1,133000000000000,,KRW,news_snapshot_2026_q1_guidance
005930_operating_income_2026_q1,company,005930,operating_income,quarter,2026-Q1,57200000000000,,KRW,news_snapshot_2026_q1_guidance
005930_stock_close_2026_06_12,company,005930,stock_close,date,2026-06-12,322500,,KRW,naver_finance_chart_2026_06_12
005930_foreign_ownership_2026_06_12,company,005930,foreign_ownership_ratio,date,2026-06-12,47.58,,%,naver_finance_chart_2026_06_12
005930_employee_rating_2026,company,005930,employee_rating,year,2026,3.7,,score,demo_synthetic_portfolio_snapshot
005380_revenue_2026_q1,company,005380,revenue,quarter,2026-Q1,45939000000000,,KRW,news_snapshot_2026_q1_results
005380_operating_income_2026_q1,company,005380,operating_income,quarter,2026-Q1,2515000000000,,KRW,news_snapshot_2026_q1_results
005380_net_income_2026_q1,company,005380,net_income,quarter,2026-Q1,2585000000000,,KRW,news_snapshot_2026_q1_results
005380_stock_close_2026_06_12,company,005380,stock_close,date,2026-06-12,607000,,KRW,naver_finance_chart_2026_06_12
005380_foreign_ownership_2026_06_12,company,005380,foreign_ownership_ratio,date,2026-06-12,25.18,,%,naver_finance_chart_2026_06_12
005380_employee_rating_2026,company,005380,employee_rating,year,2026,3.5,,score,demo_synthetic_portfolio_snapshot
035720_stock_close_2026_06_12,company,035720,stock_close,date,2026-06-12,41500,,KRW,naver_finance_chart_2026_06_12
035720_foreign_ownership_2026_06_12,company,035720,foreign_ownership_ratio,date,2026-06-12,28.25,,%,naver_finance_chart_2026_06_12
035720_employee_rating_2026,company,035720,employee_rating,year,2026,3.2,,score,demo_synthetic_portfolio_snapshot
093320_market_cap_2026_06_13,company,093320,market_cap,date,2026-06-13,611000000000,,KRW,user_provided_demo_universe_2026_06_13
093320_kosdaq_rank_2026_06_13,company,093320,kosdaq_rank,date,2026-06-13,170,,rank,user_provided_demo_universe_2026_06_13
093320_business_thesis_2026,company,093320,business_thesis,year,2026,,데이터센터·IX·CDN·클라우드 수요가 누적되는 조용한 인프라형 성장기업입니다.,,user_provided_demo_universe_2026_06_13
093320_risk_focus_2026,company,093320,risk_focus,year,2026,,"설비투자 부담, 클라우드 경쟁 구도, 낮은 정보 노출도를 함께 확인해야 합니다.",,user_provided_demo_universe_2026_06_13
093320_stock_close_2026_06_12,company,093320,stock_close,date,2026-06-12,125200,,KRW,naver_finance_chart_2026_06_12
093320_foreign_ownership_2026_06_12,company,093320,foreign_ownership_ratio,date,2026-06-12,43.83,,%,naver_finance_chart_2026_06_12
093320_employee_rating_2026,company,093320,employee_rating,year,2026,3.6,,score,demo_synthetic_portfolio_snapshot
352480_market_cap_2026_06_13,company,352480,market_cap,date,2026-06-13,256700000000,,KRW,user_provided_demo_universe_2026_06_13
352480_kosdaq_rank_2026_06_13,company,352480,kosdaq_rank,date,2026-06-13,368,,rank,user_provided_demo_universe_2026_06_13
352480_business_thesis_2026,company,352480,business_thesis,year,2026,,"K-뷰티 ODM 수요, 고객사 확장, 수출 트렌드, 마진 개선 논리를 연결해 설명하기 좋은 기업입니다.",,user_provided_demo_universe_2026_06_13
352480_risk_focus_2026,company,352480,risk_focus,year,2026,,"고객사 집중도, 색조 화장품 트렌드 변화, 원가와 환율 민감도를 확인해야 합니다.",,user_provided_demo_universe_2026_06_13
352480_stock_close_2026_06_12,company,352480,stock_close,date,2026-06-12,18830,,KRW,naver_finance_chart_2026_06_12
352480_foreign_ownership_2026_06_12,company,352480,foreign_ownership_ratio,date,2026-06-12,0.89,,%,naver_finance_chart_2026_06_12
352480_employee_rating_2026,company,352480,employee_rating,year,2026,3.4,,score,demo_synthetic_portfolio_snapshot
054950_market_cap_2026_06_13,company,054950,market_cap,date,2026-06-13,271400000000,,KRW,user_provided_demo_universe_2026_06_13
054950_kosdaq_rank_2026_06_13,company,054950,kosdaq_rank,date,2026-06-13,349,,rank,user_provided_demo_universe_2026_06_13
054950_business_thesis_2026,company,054950,business_thesis,year,2026,,"약국·병원 조제 자동화라는 실수요 기반 헬스케어 장비 기업으로, 바이오보다 실적 해석이 안정적입니다.",,user_provided_demo_universe_2026_06_13
054950_risk_focus_2026,company,054950,risk_focus,year,2026,,"의료기관 투자 사이클, 해외 확장 속도, 제품 교체 수요를 확인해야 합니다.",,user_provided_demo_universe_2026_06_13
054950_stock_close_2026_06_12,company,054950,stock_close,date,2026-06-12,22200,,KRW,naver_finance_chart_2026_06_12
054950_foreign_ownership_2026_06_12,company,054950,foreign_ownership_ratio,date,2026-06-12,16.94,,%,naver_finance_chart_2026_06_12
054950_employee_rating_2026,company,054950,employee_rating,year,2026,3.5,,score,demo_synthetic_portfolio_snapshot
213420_market_cap_2026_06_13,company,213420,market_cap,date,2026-06-13,910100000000,,KRW,user_provided_demo_universe_2026_06_13
213420_kosdaq_rank_2026_06_13,company,213420,kosdaq_rank,date,2026-06-13,114,,rank,user_provided_demo_universe_2026_06_13
213420_business_thesis_2026,company,213420,business_thesis,year,2026,,"OLED 소재 기업으로 전방 디스플레이 산업, 고객사 사이클, 제품 믹스 변화를 연결해 분석하기 좋습니다.",,user_provided_demo_universe_2026_06_13
