observation_id,subject_type,subject_id,metric_code,period_type,period_value,numeric_value,text_value,unit,source_file
005930_total_assets_2025_11011,company,005930,total_assets,fiscal_year,2025,566942110000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_equity_2025_11011,company,005930,equity,fiscal_year,2025,436320337000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_total_liabilities_2025_11011,company,005930,total_liabilities,fiscal_year,2025,130621773000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_operating_income_2025_11011,company,005930,operating_income,fiscal_year,2025,43601051000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_net_income_2025_11011,company,005930,net_income,fiscal_year,2025,45206805000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_revenue_2025_11011,company,005930,revenue,fiscal_year,2025,333605938000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_net_income_2025_11011,company,005930,net_income,fiscal_year,2025,45206805000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_net_income_2025_11011,company,005930,net_income,fiscal_year,2025,45206805000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_equity_2025_11011,company,005930,equity,fiscal_year,2025,897514000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_equity_2025_11011,company,005930,equity,fiscal_year,2025,402135600000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_equity_2025_11011,company,005930,equity,fiscal_year,2025,16876248000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_equity_2025_11011,company,005930,equity,fiscal_year,2025,424313255000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_equity_2025_11011,company,005930,equity,fiscal_year,2025,12007082000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_equity_2025_11011,company,005930,equity,fiscal_year,2025,436320337000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_equity_2025_11011,company,005930,equity,fiscal_year,2025,4403893000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_net_income_2025_11011,company,005930,net_income,fiscal_year,2025,44260956000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_net_income_2025_11011,company,005930,net_income,fiscal_year,2025,945849000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_net_income_2025_11011,company,005930,net_income,fiscal_year,2025,45206805000000.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_net_income_2025_11011,company,005930,net_income,fiscal_year,2025,0.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_net_income_2025_11011,company,005930,net_income,fiscal_year,2025,0.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
005930_net_income_2025_11011,company,005930,net_income,fiscal_year,2025,0.0,,KRW,opendart_fnlttSinglAcntAll_2025_11011
