stock_code,date,open,high,low,close,amount,foreign_ownership_ratio
005930,2026-05-28,305000,306500,287500,299500,30195334,48.29
005930,2026-05-29,309500,319000,305500,317000,37241537,48.29
005930,2026-06-01,319500,354500,319500,349000,45052488,48.30
005930,2026-06-02,360500,370000,342000,360500,44720282,48.07
005930,2026-06-04,349000,366000,348000,351500,34771037,47.81
005930,2026-06-05,333500,343000,325000,329000,33725012,47.73
005930,2026-06-08,293000,315500,292500,295500,38929682,47.70
005930,2026-06-09,310000,324000,300000,322000,30124249,47.68
005930,2026-06-10,311000,314500,295250,302500,27050362,47.61
005930,2026-06-11,290500,306500,287500,299000,31420307,47.58
005930,2026-06-12,326000,339000,320000,322500,30721836,47.58
005380,2026-05-28,709000,714000,651000,677000,2192520,25.93
005380,2026-05-29,704000,739000,701000,723000,3095790,25.99
005380,2026-06-01,736000,783000,727000,750000,2720257,25.87
005380,2026-06-02,770000,772000,697000,729000,2316547,25.72
005380,2026-06-04,708000,727000,692000,700000,1062671,25.64
005380,2026-06-05,691000,715000,650000,700000,1525982,25.52
005380,2026-06-08,621000,664000,620000,639000,1331906,25.43
005380,2026-06-09,660000,667000,620000,639000,1610713,25.43
005380,2026-06-10,637000,653000,583000,602000,1682688,25.31
005380,2026-06-11,570000,598000,561000,597000,1412678,25.18
005380,2026-06-12,635000,644000,604000,607000,1501032,25.18
035720,2026-05-28,40300,41300,38500,40100,2571868,29.00
035720,2026-05-29,40450,44000,40450,41950,7448112,29.00
035720,2026-06-01,43000,48500,41300,42700,11795777,28.13
035720,2026-06-02,43300,43300,41100,42550,3434966,28.23
035720,2026-06-04,41850,42750,41350,42000,2029148,28.28
035720,2026-06-05,41250,41500,39800,40250,1968515,28.25
035720,2026-06-08,37850,39800,37750,38600,2625755,28.31
035720,2026-06-09,38850,40100,38700,39500,2013579,28.41
035720,2026-06-10,38700,39100,37400,38150,2127595,28.30
035720,2026-06-11,37150,39700,36500,39300,2013343,28.25
035720,2026-06-12,41350,43000,40300,41500,4079208,28.25
093320,2026-05-28,110700,113000,109800,112000,5055,43.60
093320,2026-05-29,112000,116800,109800,114800,11108,43.65
093320,2026-06-01,118000,118500,111800,114900,10293,43.65
093320,2026-06-02,113000,114000,109500,113100,9059,43.69
093320,2026-06-04,110500,113400,108800,112400,7380,43.67
093320,2026-06-05,110300,113400,109100,113400,8391,43.73
093320,2026-06-08,111000,113200,104000,111800,16236,43.78
093320,2026-06-09,113800,114700,110000,111000,7523,43.77
093320,2026-06-10,110500,114000,109300,112900,5503,43.80
093320,2026-06-11,112900,114500,109900,114400,7272,43.83
093320,2026-06-12,115000,128800,115000,125200,41910,43.83
352480,2026-05-28,21100,21450,20400,21050,25906,1.43
352480,2026-05-29,21000,21050,20000,20300,27368,1.33
352480,2026-06-01,20500,21000,19720,19920,31748,1.25
352480,2026-06-02,19500,19920,18900,19290,54931,1.25
352480,2026-06-04,19200,20550,18700,20200,43838,1.22
352480,2026-06-05,20150,20300,19470,19700,36542,1.14
352480,2026-06-08,19200,19680,18300,18780,41564,1.04
352480,2026-06-09,18580,19930,18570,19160,44753,1.01
352480,2026-06-10,18980,19590,18780,19260,33064,0.98
352480,2026-06-11,19260,20800,18900,20100,48609,0.89
352480,2026-06-12,20300,21200,18830,18830,100933,0.89
054950,2026-05-28,22350,22500,21650,22150,81862,16.71
054950,2026-05-29,22350,22400,21650,21700,77618,16.61
054950,2026-06-01,21550,21950,21250,21900,80970,16.69
054950,2026-06-02,21750,22500,21400,22500,77906,16.63
054950,2026-06-04,22350,22950,22000,22700,45100,16.63
054950,2026-06-05,22800,22950,21900,22150,30623,16.55
054950,2026-06-08,21650,21650,20950,21400,50369,16.61
054950,2026-06-09,21550,21900,21250,21400,52634,16.72
054950,2026-06-10,21450,22050,21050,21800,62846,16.90
054950,2026-06-11,21700,22000,21300,22000,17347,16.94
054950,2026-06-12,22250,22750,21900,22200,50171,16.94
213420,2026-05-28,42600,42650,38250,40050,413904,12.33
213420,2026-05-29,40450,40700,37850,38850,264946,12.53
213420,2026-06-01,38750,40200,36450,37050,331440,12.91
213420,2026-06-02,36250,36900,35450,35800,257379,12.66
213420,2026-06-04,35800,36950,35150,35650,252016,12.87
213420,2026-06-05,35650,35650,33700,34700,214532,12.65
213420,2026-06-08,33400,33450,31250,31700,230997,12.34
213420,2026-06-09,31900,34900,31550,33300,185031,12.30
213420,2026-06-10,33350,35550,32900,34400,184864,12.25
213420,2026-06-11,34000,37800,33100,37050,454280,12.12
213420,2026-06-12,38000,38200,36100,36650,259057,12.12
189300,2026-05-28,147100,150000,138700,150000,183349,20.99
189300,2026-05-29,151500,154500,132900,133100,366631,20.84
189300,2026-06-01,127000,128500,115000,124500,376815,21.93
189300,2026-06-02,116300,126600,113600,124900,323204,22.20
189300,2026-06-04,129700,129700,119000,122000,111256,22.17
189300,2026-06-05,121900,121900,109200,111700,195307,22.34
189300,2026-06-08,101400,104200,98800,100400,148728,22.54
189300,2026-06-09,101500,103700,98000,102000,153849,22.46
189300,2026-06-10,102100,103800,94000,98300,193006,22.77
189300,2026-06-11,94300,104000,93800,104000,270217,23.23
189300,2026-06-12,112100,112100,102300,104800,210965,23.23
